TOKEN TYPE      | LEXEME                    | LOCATION
-----------------------------------------------------------------
[KEYWORD      ] | int                       | test_code.c:1:1
[IDENTIFIER   ] | add                       | test_code.c:1:5
[DELIMITER    ] | (                         | test_code.c:1:9
[KEYWORD      ] | int                       | test_code.c:1:10
[IDENTIFIER   ] | a                         | test_code.c:1:14
[DELIMITER    ] | ,                         | test_code.c:1:15
[KEYWORD      ] | int                       | test_code.c:1:16
[IDENTIFIER   ] | b                         | test_code.c:1:20
[DELIMITER    ] | )                         | test_code.c:1:21
[DELIMITER    ] | {                         | test_code.c:1:22
[KEYWORD      ] | return                    | test_code.c:2:5
[IDENTIFIER   ] | a                         | test_code.c:2:12
[OPERATOR     ] | +                         | test_code.c:2:14
[IDENTIFIER   ] | b                         | test_code.c:2:16
[DELIMITER    ] | ;                         | test_code.c:2:17
[DELIMITER    ] | }                         | test_code.c:3:1
[KEYWORD      ] | float                     | test_code.c:5:1
[IDENTIFIER   ] | main                      | test_code.c:5:7
[DELIMITER    ] | (                         | test_code.c:5:12
[DELIMITER    ] | )                         | test_code.c:5:13
[DELIMITER    ] | {                         | test_code.c:5:15
[KEYWORD      ] | int                       | test_code.c:6:5
[IDENTIFIER   ] | amir                      | test_code.c:6:9
[OPERATOR     ] | =                         | test_code.c:6:14
[INT_LIT      ] | 1                         | test_code.c:6:16
[DELIMITER    ] | ;                         | test_code.c:6:17
[KEYWORD      ] | int                       | test_code.c:7:5
[IDENTIFIER   ] | bagher                    | test_code.c:7:9
[OPERATOR     ] | =                         | test_code.c:7:16
[INT_LIT      ] | 2                         | test_code.c:7:18
[DELIMITER    ] | ;                         | test_code.c:7:19
[KEYWORD      ] | int                       | test_code.c:8:5
[IDENTIFIER   ] | c                         | test_code.c:8:9
[OPERATOR     ] | =                         | test_code.c:8:11
[IDENTIFIER   ] | add                       | test_code.c:8:13
[DELIMITER    ] | (                         | test_code.c:8:16
[IDENTIFIER   ] | amir                      | test_code.c:8:17
[DELIMITER    ] | ,                         | test_code.c:8:21
[IDENTIFIER   ] | bagher                    | test_code.c:8:23
[DELIMITER    ] | )                         | test_code.c:8:29
[DELIMITER    ] | ;                         | test_code.c:8:30
[KEYWORD      ] | for                       | test_code.c:9:5
[DELIMITER    ] | (                         | test_code.c:9:8
[DELIMITER    ] | )                         | test_code.c:9:9
[DELIMITER    ] | ;                         | test_code.c:9:10
[DELIMITER    ] | }                         | test_code.c:10:1
[EOF          ] |                           | test_code.c:10:2
